"図形と集計データのリンクコード","都道府県番号","市区町村番号","町丁・字等番号_1","都道府県名","市区町村名","町丁・字等名称","KIGO_E","分類コード","面積（㎡）","周辺長（ｍ)","内部ＩＤ","外部ＩＤ","町字コード","ダミー","丁目、字などの番号","マッチング番号","町丁・字等別結果マッチング番号","面積最大フラグ","KIGO_D","N_KEN","N_CITY","KIGO_I","基本単位区（調査区）数","人口","世帯数","町丁・字等番号_2","総数、年齢「不詳」含む","総数０～４歳","総数５～９歳","総数１０～１４歳","総数１５～１９歳","総数２０～２４歳","総数２５～２９歳","総数３０～３４歳","総数３５～３９歳","総数４０～４４歳","総数４５～４９歳","総数５０～５４歳","総数５５～５９歳","総数６０～６４歳","総数６５～６９歳","総数７０～７４歳","総数１５歳未満","総数１５～６４歳","総数６５歳以上","総数７５歳以上","男の総数、年齢「不詳」含む","男０～４歳","男５～９歳","男１０～１４歳","男１５～１９歳","男２０～２４歳","男２５～２９歳","男３０～３４歳","男３５～３９歳","男４０～４４歳","男４５～４９歳","男５０～５４歳","男５５～５９歳","男６０～６４歳","男６５～６９歳","男７０～７４歳","男１５歳未満","男１５～６４歳","男６５歳以上","男７５歳以上","女の総数、年齢「不詳」含む","女０～４歳","女５～９歳","女１０～１４歳","女１５～１９歳","女２０～２４歳","女２５～２９歳","女３０～３４歳","女３５～３９歳","女４０～４４歳","女４５～４９歳","女５０～５４歳","女５５～５９歳","女６０～６４歳","女６５～６９歳","女７０～７４歳","女１５歳未満","女１５～６４歳","女６５歳以上","女７５歳以上","経度","緯度","分類"
"13114001001","13","114","001001","東京都","中野区","南台一丁目","","8101","91168.123","1576.079","1721","1720","0010","-","01","114001001","114001001","M","","","","","17","1324","793","0010-01","1324","38","18","44","41","64","139","125","110","104","119","110","84","56","49","71","100","952","252","132","660","14","9","20","15","34","79","66","61","57","55","61","38","28","24","38","43","494","110","48","664","24","9","24","26","30","60","59","49","47","64","49","46","28","25","33","57","458","142","84","139.675278913885","35.6854309807969"," ～ 3008"
"13114001002","13","114","001002","東京都","中野区","南台二丁目","","8101","164775.377","1714.175","1722","1721","0010","-","02","114001002","114001002","M","","","","","67","5621","3339","0010-02","5621","175","141","118","180","320","450","473","425","429","457","408","335","286","253","236","434","3763","1134","645","2781","97","55","60","82","152","199","251","238","240","253","208","172","132","142","113","212","1927","507","252","2840","78","86","58","98","168","251","222","187","189","204","200","163","154","111","123","222","1836","627","393","139.671216260566","35.6836049319226","5479 ～"
"13114001003","13","114","001003","東京都","中野区","南台三丁目","","8101","209948.491","2028.62","1723","1722","0010","-","03","114001003","114001003","M","","","","","65","5738","3226","0010-03","5738","221","189","182","208","375","406","428","446","461","431","419","331","263","231","224","592","3768","1064","609","2890","111","106","86","121","198","235","228","220","255","218","207","173","128","119","108","303","1983","456","229","2848","110","83","96","87","177","171","200","226","206","213","212","158","135","112","116","289","1785","608","380","139.66568591618","35.6841224959966","5479 ～"
"13114001004","13","114","001004","東京都","中野区","南台四丁目","","8101","187947.829","2432.5","1724","1723","0010","-","04","114001004","114001004","M","","","","","66","4472","2622","0010-04","4472","112","109","123","145","271","371","362","322","301","311","316","277","210","218","216","344","2886","932","498","2265","60","63","65","75","130","211","195","182","146","163","157","140","113","121","108","188","1512","425","196","2207","52","46","58","70","141","160","167","140","155","148","159","137","97","97","108","156","1374","507","302","139.666494305309","35.6798643845418","4170 ～ 5479"
"13114001005","13","114","001005","東京都","中野区","南台五丁目","","8101","180409.698","2393.481","1725","1724","0010","-","05","114001005","114001005","M","","","","","51","4345","2630","0010-05","4345","117","110","97","113","282","390","356","365","321","336","313","261","212","168","179","324","2949","783","436","2179","59","51","44","63","165","212","193","190","170","173","154","139","99","71","79","154","1558","322","172","2166","58","59","53","50","117","178","163","175","151","163","159","122","113","97","100","170","1391","461","264","139.662465116402","35.6821612315034","4170 ～ 5479"
"13114002001","13","114","002001","東京都","中野区","弥生町一丁目","","8101","221751.183","2366.454","1726","1725","0020","-","01","114002001","114002001","M","","","","","76","6650","4278","0020-01","6650","215","165","146","141","366","657","675","603","504","539","430","336","275","240","276","526","4526","1020","504","3487","115","80","74","77","213","373","380","341","277","293","230","183","132","126","124","269","2499","442","192","3163","100","85","72","64","153","284","295","262","227","246","200","153","143","114","152","257","2027","578","312","139.679831427916","35.6901030868971","5479 ～"
"13114002002","13","114","002002","東京都","中野区","弥生町二丁目","","8101","178719.858","1984.736","1727","1726","0020","-","02","114002002","114002002","M","","","","","64","5475","3595","0020-02","5475","155","145","109","125","314","511","530","454","424","458","272","264","199","225","279","409","3551","1014","510","2666","83","71","54","60","129","209","273","240","226","252","143","148","100","116","134","208","1780","430","180","2809","72","74","55","65","185","302","257","214","198","206","129","116","99","109","145","201","1771","584","330","139.673036827056","35.6915158860072","4170 ～ 5479"
"13114002003","13","114","002003","東京都","中野区","弥生町三丁目","","8101","111879.296","1340.784","1728","1727","0020","-","03","114002003","114002003","M","","","","","43","3049","1876","0020-03","3049","72","71","66","90","175","295","261","233","231","261","210","151","132","116","147","209","2039","623","360","1478","37","38","34","33","77","143","145","128","113","134","101","83","69","51","73","109","1026","268","144","1571","35","33","32","57","98","152","116","105","118","127","109","68","63","65","74","100","1013","355","216","139.674196534021","35.6883102206559","3008 ～ 3472"
"13114002004","13","114","002004","東京都","中野区","弥生町四丁目","","8101","147361.169","1639.182","1729","1728","0020","-","04","114002004","114002004","M","","","","","46","3427","2074","0020-04","3427","106","87","79","84","178","292","256","284","279","258","211","197","154","176","174","272","2193","719","369","1661","60","48","40","40","74","131","132","152","136","148","108","99","68","92","73","148","1088","309","144","1766","46","39","39","44","104","161","124","132","143","110","103","98","86","84","101","124","1105","410","225","139.671402840489","35.688132365579","3008 ～ 3472"
"13114002005","13","114","002005","東京都","中野区","弥生町五丁目","","8101","261790.089","2238.307","1730","1729","0020","-","05","114002005","114002005","M","","","","","41","3729","2133","0020-05","3729","131","111","88","69","197","326","289","318","262","303","227","207","192","185","184","330","2390","790","421","1769","68","56","50","38","93","160","146","155","141","148","110","95","106","80","88","174","1192","301","133","1960","63","55","38","31","104","166","143","163","121","155","117","112","86","105","96","156","1198","489","288","139.665808041995","35.6880512829529","3472 ～ 4170"
