名称,名称かな,所在地,投票区番号,投票所,備考,分類HCODE,経度,緯度,分類
第39投票区,,,39,武蔵台小学校,,570100,139.6300996,35.72827021,投票所区域図
第40投票区,,,40,上鷺宮区民活動センター,,570100,139.6322004,35.73114807,投票所区域図
第38投票区,,,38,（旧）西中野小学校,,570100,139.6328395,35.72063866,投票所区域図
第36投票区,,,36,明和中学校【（旧）若宮小学校】,,570100,139.6416022,35.71892657,投票所区域図
第37投票区,,,37,鷺の杜小学校【（旧）第八中学校】,,570100,139.640643,35.72511416,投票所区域図
第35投票区,,,35,美鳩小学校【（旧）大和小学校】,,570100,139.6452891,35.71407841,投票所区域図
第33投票区,,,33,（旧）第四中学校【明和中学校旧校舎】,,570100,139.6503013,35.71654436,投票所区域図
第32投票区,,,32,北原小学校,,570100,139.6503406,35.72268963,投票所区域図
第34投票区,,,34,啓明小学校,,570100,139.6516168,35.71156732,投票所区域図
第31投票区,,,31,緑野小学校,,570100,139.6576169,35.72343874,投票所区域図
第30投票区,,,30,にじいろのがた学童クラブ【（旧）沼袋小学校】,,570100,139.6586336,35.71833016,投票所区域図
第20投票区,,,20,中野中学校,,570100,139.6598248,35.70909311,投票所区域図
第29投票区,,,29,平和の森小学校,,570100,139.6599584,35.71513758,投票所区域図
第27投票区,,,27,沼袋区民活動センター,,570100,139.664515,35.72315144,投票所区域図
第8投票区,,,8,新渡戸文化学園（本町六丁目校舎）,,570100,139.6643491,35.69558195,投票所区域図
第13投票区,,,13,新渡戸文化学園（中野三丁目校舎）,,570100,139.6635692,35.70289554,投票所区域図
第2投票区,,,2,南台小学校【（旧）多田小学校】,,570100,139.6642936,35.68379429,投票所区域図
第12投票区,,,12,桃花小学校,,570100,139.66651,35.70022502,投票所区域図
第26投票区,,,26,第七中学校,,570100,139.6673943,35.72553288,投票所区域図
第19投票区,,,19,中野区役所（新庁舎）,,570100,139.6667902,35.70928126,投票所区域図
第28投票区,,,28,令和小学校【（旧）新井小学校】,,570100,139.6678439,35.71662023,投票所区域図
第3投票区,,,3,南部すこやか福祉センター（南部スポーツ・コミュニティプラザ）,,570100,139.6675857,35.68780083,投票所区域図
第1投票区,,,1,（旧）新山小学校【南台小学校旧校舎】,,570100,139.6684017,35.68083495,投票所区域図
第7投票区,,,7,宮の台児童館,,570100,139.6707951,35.69574617,投票所区域図
第14投票区,,,14,中野区産業振興センター,,570100,139.6710846,35.70318927,投票所区域図
第21投票区,,,21,上高田区民活動センター,,570100,139.6721378,35.71191425,投票所区域図
第24投票区,,,24,みずの塔ふれあいの家,,570100,139.6733422,35.72382705,投票所区域図
第6投票区,,,6,第二中学校,,570100,139.6720053,35.69212204,投票所区域図
第25投票区,,,25,江原小学校,,570100,139.6724285,35.73022797,投票所区域図
第4投票区,,,4,みなみの小学校【（旧）中野神明小学校】,,570100,139.6736056,35.68673245,投票所区域図
第11投票区,,,11,中部すこやか福祉センター,,570100,139.6757037,35.69997569,投票所区域図
第15投票区,,,15,谷戸小学校,,570100,139.6772757,35.70360485,投票所区域図
第23投票区,,,23,上高田児童館,,570100,139.6758228,35.71640233,投票所区域図
第9投票区,,,9,中野第一小学校【（旧）桃園小学校】,,570100,139.6783589,35.69528845,投票所区域図
第18投票区,,,18,桃園第二小学校,,570100,139.6771576,35.70773787,投票所区域図
第22投票区,,,22,白桜小学校,,570100,139.6788021,35.71089599,投票所区域図
第5投票区,,,5,（旧）向台小学校【中野本郷小学校（代替校舎）】,,570100,139.6807382,35.69101869,投票所区域図
第16投票区,,,16,塔山小学校,,570100,139.6838948,35.70258602,投票所区域図
第10投票区,,,10,中野東中学校【（旧）第十中学校】,,570100,139.683664,35.69775051,投票所区域図
第17投票区,,,17,都立中野特別支援学校【東中野仮設校舎】,,570100,139.6884902,35.70867719,投票所区域図
