目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
１０７．区内学校数の状況（令和6年5月1日）,,,,,,,,,,,
区分,総数,大学1）,短期大学1),中等教育学校,高等学校,中学校,小学校,幼稚園,特別支援学校,各種学校,専修学校
,学校数,,,,,,,,,,
総数,99,2,2,1,12,15,22,21,1,5,18
国立,1,-,-,1,-,-,-,-,-,-,-
公立4）,38,-,-,-,5,10,20,2,1,-,-
私立,60,2,2,-,7,5,2,19,-,5,18
,,,,,,教員数2),,,,,
総数,2293,…,…,41,582,423,660,201,150,9,227
国立,41,…,…,41,-,-,-,-,-,-,-
公立4）,1289,…,…,-,254,270,604,11,150,-,-
私立,963,…,…,-,328,153,56,190,-,9,227
,,,,,,在学者数3),,,,,
総数,35070,…,…,706,9259,6789,11844,1873,350,250,3999
国立,706,…,…,706,-,-,-,-,-,-,-
公立4）,18857,…,…,-,3238,4110,11041,118,350,-,-
私立,15507,…,…,-,6021,2679,803,1755,-,250,3999
注1）　区内に本部がある大学及び短期大学のみ計上,,,,,,,,,,,
　　　 令和5年より大学及び短期大学の教員数・在学者数については、公表されていない。,,,,,,,,,,,
注2）　教員数には兼務教員を含まない。,,,,,,,,,,,
注3）　高等学校の在学者数は本科在籍者数である。,,,,,,,,,,,
注4）　公立には都立と区立が含まれる。,,,,,,,,,,,
資料　東京都総務局統計部人口統計課「学校基本調査報告」,,,,,,,,,,,
　　　文部科学省「学校コード」,,,,,,,,,,,
