目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
１０８．幼稚園数･園児数･教員数の推移（令和2～令和6年）,,,,,,,,（各年5月1日現在）
年次,園数,学級数1),教員数2),職員数,在園者数,,,
,,,,,総数,3歳,4歳,5歳
,区立,,,,,,,
令和2年,2,6,10,8,155,31,60,64
3,2,6,10,8,150,32,54,64
4,2,6,11,8,142,32,51,59
5,2,6,11,8,135,32,44,59
6,2,6,11,8,118,31,42,45
,私立,,,,,,,
令和2年,20,114,250,49,2827,864,946,1017
3,20,110,226,38,2606,818,855,933
4,20,107,227,40,2393,702,802,889
5,19,111,212,41,2099,621,686,792
6,19,106,190,42,1755,477,607,671
注1）　学級数は集計データを参照。,,,,,,,,
注2）　教員数には教育補助員は含まない。,,,,,,,,
資料　東京都総務局統計部人口統計課「学校基本調査報告」,,,,,,,,
