目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
１０９．小学校数･児童数･教員数の推移（令和2～令和6年）,,,,,,,,,,,,,,,,（各年5月1日現在）
年次,学校数,学級数,うち,教員数1),,,職員数1),,,児童数,,,,,,
,,,"特別支援学級数
1)",総数,男,女,総数,男,女,総数,1年,2年,3年,4年,5年,6年
,区立,,,,,,,,,,,,,,,
令和2年,21,340,18,553,201,352,61,24,37,10084,1745,1801,1685,1607,1683,1563
3,21,353,20,578,223,355,61,21,40,10432,1904,1756,1785,1683,1617,1687
4,21,361,19,570,231,339,61,22,39,10615,1912,1878,1752,1783,1668,1622
5,21,376,20,592,237,355,61,18,43,10882,1871,1896,1881,1760,1801,1673
6,20,384,20,604,234,370,59,18,41,11041,1848,1853,1905,1876,1754,1805
,私立,,,,,,,,,,,,,,,
令和2年,2,24,-,55,28,27,11,2,9,804,127,135,138,135,136,133
3,2,24,-,53,26,27,9,2,7,806,138,129,134,135,135,135
4,2,24,-,49,23,26,7,2,5,809,141,137,130,133,133,135
5,2,24,-,52,25,27,6,1,5,811,142,140,134,131,132,132
6,2,24,-,56,30,26,5,1,4,803,137,137,138,129,130,132
注）　特別支援学級数及び男女別教員数・職員数については、集計データを参照。,,,,,,,,,,,,,,,,
資料　東京都総務局統計部人口統計課「学校基本調査報告」,,,,,,,,,,,,,,,,
