目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
１２．社会動態（令和2～令和6年）,,,,,,,,,,
（単位：人）,,,,,,,,,,
年次,転入,,,転出,,,社会増加数,,,その他の
,総数,都内,都外,総数,都内,都外,総数,都内,都外,増減
令和2年,31475,17913,13562,30765,18887,11878,710,-974,1684,-1312
3,30574,17391,13183,31572,19388,12184,△ 998,"△ 1,997",999,"△ 1,617"
4,30079,16691,13388,30287,18970,11317,△ 208,"△ 2,279",2071,1784
5,30947,17086,13861,29256,18037,11219,1691,-951,2642,2093
6,31150,17215,13935,29453,18502,10951,1697,-1287,2984,2248
1月,2014,1149,865,1960,1286,674,54,-137,191,-30
2,2388,1415,973,2146,1376,770,242,39,203,-128
3,5025,1952,3073,4066,2109,1957,959,-157,1116,326
4,3889,1766,2123,3152,1841,1311,737,-75,812,885
5,2566,1537,1029,2251,1422,829,315,115,200,8
6,2128,1240,888,2177,1379,798,-49,-139,90,156
7,2486,1494,992,2440,1594,846,46,-100,146,496
8,2073,1212,861,2258,1493,765,-185,-281,96,-178
9,2207,1318,889,2247,1476,771,-40,-158,118,449
10,2225,1389,836,2374,1625,749,-149,-236,87,434
11,1998,1280,718,2190,1428,762,-192,-148,-44,-33
12,2151,1463,688,2192,1473,719,-41,-10,-31,-137
注）　その他の増減：職権による記載と削除，国外転入，転出等の差引である。,,,,,,,,,,
資料　戸籍住民課,,,,,,,,,,
