目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
１２７．一般会計性質別歳出決算額の推移（令和元～令和5年度）,,,,,,,,,,
（単位：金額千円，構成比％）,,,,,,,,,,
種別,令和元年度,,令和2年度,,令和3年度,,令和4年度,,令和5年度,
,金額,構成比,金額,構成比,金額,構成比,金額,構成比,金額,構成比
総額,141617102,100,180615727,100,153338351,100,162369659,100,198672926,100
人件費,20105890,14.2,20344433,11.3,19811459,12.9,20236101,12.5,19203569,9.7
うち職員給,13992663,9.9,13618074,7.5,13533492,8.8,13604140,8.4,13749982,6.9
物件費,20528504,14.5,20903873,11.6,23908613,15.6,25035280,15.4,24687520,12.4
維持補修費,1080891,0.8,1155100,0.6,1165214,0.8,1467560,0.9,1607588,0.8
扶助費,40640582,28.7,43836465,24.3,50875126,33.2,50460365,31.1,52571710,26.5
うち生活保護費,16013142,11.3,15934799,8.8,15678277,10.2,15927990,9.8,15944130,8
補助費等,7183068,5.1,39714420,22,6672527,4.4,9186105,5.7,8937751,4.5
投資的経費,26311989,18.6,32133088,17.8,28886309,18.8,23407905,14.4,57699566,29
普通建設事業費,26311989,18.6,32133088,17.8,28886309,18.8,23407905,14.4,24687520,12.4
災害復旧事業費,0,0,0,0,0,0,0,0,0,0
失業対策事業費,0,0,0,0,0,0,0,0,0,0
公債費,3137941,2.2,2093038,1.2,1405743,0.9,1299262,0.8,1439520,0.7
積立金,11288055,8,9839212,5.4,10319405,6.7,20671410,12.7,19936220,10
投資及び出資金・貸付金,10857,0,12552,0,8167,0,18826,0,19961,0
繰出金,11329325,8,10583546,5.9,10285788,6.7,10586845,6.5,12569521,6.3
注）　計数は各項目で四捨五入しているため，合計が合わないことがある。,,,,,,,,,,
資料　中野区「決算特別委員会資料」「主要施策の成果（決算説明資料）」,,,,,,,,,,
