目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"１２８．用地特別会計予算額と決算額（令和4年度,令和5年度）",,,,,,
（単位：金額千円）,,,,,,
区分,令和4年度,,,令和5年度,,
,"当初予算額
補正予算額計",最終予算現額,決算額,"当初予算額
補正予算額計",最終予算現額,決算額
,歳入,,,,,
総額,304000,304000,293979,8779000,8789956,8789160
財産収入,231495,231495,225921,8711256,8711256,8711256
繰入金,72505,72505,68058,67744,78700,77904
特別区債,－,－,－,－,－,－
,歳出,,,,,
総額,304000,304000,293979,8779000,8789956,8789160
公債費,304000,304000,293979,8779000,8789956,8789160
用地費,－,－,－,－,－,－
注）　計数は各項目で四捨五入しているため，合計が合わないことがある。,,,,,,
資料　中野区「当初予算説明書」「主要施策の成果（決算説明資料）」,,,,,,
