目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
"１８．町丁，男女別人口及び世帯数（平成27年,対令和2年比較）",,,,,,,,,,,,,,（各年10月1日現在）
,平成27年,,,,令和2年,,,,,世帯数・人口増減（平成27年～令和2年）,,,,
町丁別,世帯数,人口,,,世帯数,人口,,,人口密度,世帯数,人口増減,,,人口増減率
,,総数,男,女,,総数,男,女,（1k㎡当たり）,増減,総数,男,女,（％）
中野区,196132,328215,165382,162833,208093,344880,172525,172355,22122,11961,16665,7143,9522,5.077464466889081
南台総数,11500,20217,10140,10077,12610,21500,10775,10725,26543,1110,1283,635,648,6.346144333976356
南台一丁目,776,1290,646,644,793,1324,660,664,16550,17,34,14,20,2.635658914728678
南台二丁目,3110,5346,2643,2703,3339,5621,2781,2840,35131,229,275,138,137,5.144032921810693
南台三丁目,2875,5294,2628,2666,3226,5738,2890,2848,27324,351,444,262,182,8.3868530411787
南台四丁目,2310,4025,2027,1998,2622,4472,2265,2207,23537,312,447,238,209,11.105590062111803
南台五丁目,2429,4262,2196,2066,2630,4345,2179,2166,25559,201,83,-17,100,1.9474425152510522
弥生町総数,13574,22562,11251,11311,14899,24073,11867,12206,23835,1325,1511,616,895,6.697101320804899
弥生町一丁目,4017,6408,3354,3054,4278,6650,3487,3163,31667,261,242,133,109,3.7765293383270837
弥生町二丁目,3138,5005,2463,2542,3595,5475,2666,2809,30417,457,470,203,267,9.390609390609384
弥生町三丁目,1792,2948,1485,1463,1876,3049,1478,1571,27718,84,101,-7,108,3.426051560379917
弥生町四丁目,1863,3270,1571,1699,2074,3427,1661,1766,22847,211,157,90,67,4.8012232415902245
弥生町五丁目,1813,3220,1577,1643,2133,3729,1769,1960,13811,320,509,192,317,15.807453416149064
弥生町六丁目,951,1711,801,910,943,1743,806,937,19367,-8,32,5,27,1.8702513150204547
本町総数,18638,29410,14563,14847,20160,30885,15294,15591,29137,1522,1475,731,744,5.015300918055088
本町一丁目,2320,3735,1857,1878,2502,3945,1987,1958,32875,182,210,130,80,5.622489959839361
本町二丁目,2912,4599,2370,2229,3192,4849,2483,2366,22041,280,250,113,137,5.43596434007394
本町三丁目,3596,5567,2791,2776,3775,5659,2870,2789,33288,179,92,79,13,1.6525956529549024
本町四丁目,4440,6953,3383,3570,4882,7399,3587,3812,33632,442,446,204,242,6.414497339278014
本町五丁目,2398,3750,1821,1929,2598,3980,1953,2027,24875,200,230,132,98,6.133333333333324
本町六丁目,2972,4806,2341,2465,3211,5053,2414,2639,29724,239,247,73,174,5.1394090719933505
中央総数,18460,29189,14857,14332,20033,30982,15558,15424,26709,1573,1793,701,1092,6.142724999143523
中央一丁目,3618,5672,2861,2811,4077,6203,3061,3142,26970,459,531,200,331,9.361777150916794
中央二丁目,4037,6397,3292,3105,4144,6518,3323,3195,21727,107,121,31,90,1.8915116460840986
中央三丁目,3456,5370,2772,2598,3724,5647,2901,2746,28235,268,277,129,148,5.158286778398513
中央四丁目,4137,6516,3321,3195,4428,6859,3478,3381,29822,291,343,157,186,5.263965623081646
中央五丁目,3212,5234,2611,2623,3660,5755,2795,2960,28775,448,521,184,337,9.954145968666417
東中野総数,14688,23275,11565,11710,15672,24802,12249,12553,26107,984,1527,684,843,6.560687432867884
東中野一丁目,4237,6586,3312,3274,4709,7234,3631,3603,30142,472,648,319,329,9.839052535681759
東中野二丁目,2679,4455,2132,2323,2763,4623,2235,2388,21014,84,168,103,65,3.7710437710437805
東中野三丁目,2045,3203,1586,1617,2253,3379,1636,1743,21119,208,176,50,126,5.494848579456768
東中野四丁目,2757,4088,2020,2068,3041,4675,2310,2365,29219,284,587,290,297,14.359099804305275
東中野五丁目,2970,4943,2515,2428,2906,4891,2437,2454,28771,-64,-52,-78,26,-1.0519927169734933
中野総数,17113,27022,14146,12876,17186,28176,14600,13576,19167,73,1154,454,700,4.270594330545485
中野一丁目,3555,5915,3151,2764,3872,6345,3359,2986,25380,317,430,208,222,7.269653423499567
中野二丁目,1517,2593,1300,1293,1560,2721,1312,1409,12957,43,128,12,116,4.936367142306208
中野三丁目,3769,5984,3161,2823,3997,6259,3253,3006,26079,228,275,92,183,4.595588235294112
中野四丁目,1743,2266,1171,1095,888,1947,1010,937,6084,-855,-319,-161,-158,-14.077669902912627
中野五丁目,4361,6562,3475,3087,4620,7006,3704,3302,23353,259,444,229,215,6.76622980798538
中野六丁目,2168,3702,1888,1814,2249,3898,1962,1936,25987,81,196,74,122,5.294435440302547
上高田総数,13014,20809,10765,10044,13351,21325,11043,10282,21114,337,516,278,238,2.4796962852611903
上高田一丁目,3386,5556,2838,2718,3494,5668,2908,2760,20993,108,112,70,42,2.015838732901365
上高田二丁目,3372,5084,2723,2361,3339,5077,2732,2345,25385,-33,-7,9,-16,-0.13768686073957204
上高田三丁目,2108,3314,1732,1582,2161,3468,1774,1694,26677,53,154,42,112,4.646952323476161
上高田四丁目,2262,3770,1899,1871,2361,3921,1981,1940,20637,99,151,82,69,4.005305039787799
上高田五丁目,1886,3085,1573,1512,1996,3191,1648,1543,14505,110,106,75,31,3.4359805510534747
新井総数,11256,18225,9432,8793,11731,18854,9718,9136,23277,475,629,286,343,3.4513031550068574
新井一丁目,2896,4306,2251,2055,3053,4499,2345,2154,29993,157,193,94,99,4.482117974918709
新井二丁目,3310,5359,2803,2556,3413,5575,2886,2689,27875,103,216,83,133,4.030602724388888
新井三丁目,1623,2971,1584,1387,1697,3053,1634,1419,12721,74,82,50,32,2.7600134634803153
新井四丁目,1822,3113,1529,1584,1940,3312,1645,1667,27600,118,199,116,83,6.392547381946678
新井五丁目,1605,2476,1265,1211,1628,2415,1208,1207,24150,23,-61,-57,-4,-2.463651050080773
沼袋総数,8314,13506,6876,6630,8778,14001,7114,6887,20897,464,495,238,257,3.6650377609951157
沼袋一丁目,2145,3418,1760,1658,2294,3580,1819,1761,21059,149,162,59,103,4.739613809245169
沼袋二丁目,2113,3426,1734,1692,2318,3756,1897,1859,20867,205,330,163,167,9.632224168126102
沼袋三丁目,2040,3203,1664,1539,2067,3190,1663,1527,19938,27,-13,-1,-12,-0.405869497346234
沼袋四丁目,2016,3459,1718,1741,2099,3475,1735,1740,21719,83,16,17,-1,0.462561433940456
松が丘総数,3774,6410,3300,3110,3948,6565,3403,3162,17276,174,155,103,52,2.4180967238689455
松が丘一丁目,1978,3278,1683,1595,2044,3252,1702,1550,15486,66,-26,19,-45,-0.7931665649786424
松が丘二丁目,1796,3132,1617,1515,1904,3313,1701,1612,19488,108,181,84,97,5.7790549169859595
江原町総数,4910,8952,4418,4534,5239,9323,4547,4776,17929,329,371,129,242,4.144325290437889
江原町一丁目,1673,3233,1544,1689,1799,3322,1578,1744,15819,126,89,34,55,2.752861119703054
江原町二丁目,1813,3346,1665,1681,1906,3514,1759,1755,19522,93,168,94,74,5.020920502092041
江原町三丁目,1424,2373,1209,1164,1534,2487,1210,1277,19131,110,114,1,113,4.804045512010124
江古田総数,6158,12038,5872,6166,7468,14617,6936,7681,19233,1310,2579,1064,1515,21.42382455557401
江古田一丁目,1636,3249,1644,1605,1668,3326,1663,1663,17505,32,77,19,58,2.369959987688519
江古田二丁目,1371,2580,1235,1345,1547,2736,1304,1432,22800,176,156,69,87,6.04651162790697
江古田三丁目,627,1673,708,965,1604,3887,1703,2184,16900,977,2214,995,1219,132.3371189479976
江古田四丁目,2524,4536,2285,2251,2649,4668,2266,2402,21218,125,132,-19,151,2.910052910052907
丸山総数,2763,5010,2480,2530,2792,4997,2451,2546,17846,29,-13,-29,16,-0.25948103792414745
丸山一丁目,1118,2043,1000,1043,1135,2060,1009,1051,14714,17,17,9,8,0.8321096426823216
丸山二丁目,1645,2967,1480,1487,1657,2937,1442,1495,20979,12,-30,-38,8,-1.0111223458038388
野方総数,12821,21095,10710,10385,13473,22017,11113,10904,23932,652,922,403,519,4.370703958283961
野方一丁目,3009,4903,2553,2350,3154,5159,2669,2490,27153,145,256,116,140,5.221293085865786
野方二丁目,2819,4938,2568,2370,3000,5136,2714,2422,25680,181,198,146,52,4.009720534629402
野方三丁目,1586,2657,1374,1283,1561,2618,1345,1273,21817,-25,-39,-29,-10,-1.4678208505833679
野方四丁目,2011,3263,1621,1642,2095,3370,1663,1707,22467,84,107,42,65,3.279190928593323
野方五丁目,1305,2128,1030,1098,1386,2227,1068,1159,20245,81,99,38,61,4.6522556390977465
野方六丁目,2091,3206,1564,1642,2277,3507,1654,1853,23380,186,301,90,211,9.388646288209612
大和町総数,9566,15630,8161,7469,9749,15954,8288,7666,22470,183,324,127,197,2.0729366602687094
大和町一丁目,3335,5095,2661,2434,3350,5175,2671,2504,25875,15,80,10,70,1.5701668302257055
大和町二丁目,1984,3226,1715,1511,1990,3204,1713,1491,21360,6,-22,-2,-20,-0.6819590824550525
