目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
２０．世帯の家族類型，世帯人員別一般世帯数（令和2年10月1日）,,,,,,,,,,,,,,,,,,,,
,,親族のみの世帯,,,,,,,,,,,,,,,,,"

世帯",
親族人員,総数1）,,核家族世帯,,,,,核家族以外の世帯,,,,,,,,,,,,
,,総数,総数,夫婦のみの世帯,夫婦と子供から成る世帯,男親と子供から成る世帯,女親と子供から成る世帯,総数,夫婦と両親からなる世帯,夫婦とひとり親から成る世帯,夫婦，子供と両親から成る世帯,夫婦，子供とひとり親から成る世帯,夫婦と他の親族（親，子供を含まない）から成る世帯,夫婦，子供と他の親族（親を含まない）から成る世帯,夫婦，親と他の親族（子供を含まない）から成る親族,夫婦，子供，親と他の親族から成る世帯,兄弟姉妹のみから成る世帯,"他に分類
されない
世帯","非親族を
含む世帯",単独世帯
一般世帯数,207944,75235,70052,28746,30532,1562,9212,5183,81,568,155,782,215,339,40,77,2083,843,3013,129649
世帯人員が1人,129649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129649
2,42006,39155,36941,28746,-,1247,6948,2214,-,-,-,-,-,-,-,-,1947,267,2812,-
3,20539,20412,19141,-,16900,278,1963,1271,-,568,-,-,177,-,-,-,119,407,123,-
4,12701,12656,11729,-,11420,35,274,927,81,-,-,446,30,195,29,-,16,130,42,-
5,2517,2494,2004,-,1979,2,23,490,-,-,61,257,7,105,8,21,-,31,23,-
6,426,418,206,-,202,-,4,212,-,-,70,70,-,35,1,29,1,6,7,-
7人以上,106,100,31,-,31,-,-,69,-,-,24,9,1,4,2,27,-,2,6,-
注）　世帯の家族類型「不詳」を含む。,,,,,,,,,,,,,,,,,,,,
資料　総務省統計局「令和2年国勢調査人口等基本集計」,,,,,,,,,,,,,,,,,,,,
