目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
２６．常住地による従業･通学市区町村別15歳以上就業者数及び15歳以上通学者数（令和2年10月1日）,,,
常住地による従業・通学市区町村,総数,15歳以上就業者,15歳以上通学者
区内に常住する就業者・通学者,150704,140355,10349
,,,
区内での従業・通学,42983,40700,2283
自宅,17893,17893,-
自宅外,25090,22807,2283
,,,
他の区市町村で従業・通学,103853,96094,7759
都内,97584,90492,7092
,,,
特別区部,89818,83856,5962
千代田区,13582,13032,550
中央区,6713,6686,27
港区,10749,10521,228
新宿区,20289,18362,1927
文京区,2480,2131,349
台東区,1248,1225,23
墨田区,671,653,18
江東区,2800,2751,49
品川区,2996,2928,68
目黒区,1162,1040,122
大田区,1079,1036,43
世田谷区,2059,1648,411
渋谷区,7933,7569,364
杉並区,6461,5762,699
豊島区,3234,2838,396
北区,668,596,72
荒川区,270,244,26
板橋区,1105,952,153
練馬区,3281,2904,377
足立区,395,370,25
葛飾区,212,192,20
江戸川区,431,416,15
,,,
市・郡・島部,6220,5160,1060
八王子市,649,455,194
立川市,484,473,11
武蔵野市,1009,824,185
三鷹市,607,530,77
青梅市,43,43,-
府中市,415,391,24
昭島市,109,107,2
調布市,372,326,46
町田市,173,121,52
小金井市,285,179,106
小平市,354,253,101
日野市,143,124,19
東村山市,163,140,23
国分寺市,225,177,48
国立市,141,90,51
福生市,20,20,-
狛江市,45,44,1
東大和市,48,44,4
清瀬市,79,64,15
東久留米市,89,77,12
武蔵村山市,45,35,10
多摩市,189,167,22
稲城市,30,24,6
羽村市,24,24,-
あきる野市,19,15,4
西東京市,424,378,46
瑞穂町,14,13,1
日の出町,9,9,-
奥多摩町,5,5,-
その他の市町村,8,8,-
,,,
他県,6269,5602,667
,,,
従業・通学市区町村「不詳・外国」,1546,1476,70
従業地・通学地「不詳」,3868,3561,307
,,,
資料　総務省統計局「令和2年国勢調査　従業地・通学地による人口・就業状態等集計」,,,
