目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
３．地目別土地面積の推移（平成25～令和5年）,,,,,,,,,,,,
（単位：ｈａ）,,,,,,,,,,,,（各年1月1日現在）
年次,総数,宅地,,,,田,畑,山林,原野,池沼,雑種地,免税点未満
,,総数,商業地区,工業地区,住宅地区,,,,,,,
平成25年,1036.72,1005.93,14.63,-,991.3,-,4.25,0.29,-,-,25.67,0.58
26,1037.16,1006.59,14.75,-,991.84,-,4.15,0.16,-,-,25.68,0.58
27,1035.99,1005.48,14.86,-,990.62,-,4.01,0.16,-,-,25.78,0.56
28,1036.65,1006.14,14.86,-,991.28,-,4.01,0.15,-,-,25.78,0.57
29,1036.54,1005.95,14.83,-,991.12,-,3.86,0.14,-,-,26.02,0.57
30,1036.61,1006.87,17.7,-,989.17,-,2.73,0.14,-,-,26.3,0.57
31,1036.63,1007.09,17.7,-,989.39,-,2.61,0.14,-,-,26.13,0.66
令和2年,1036.34,1007.35,17.6,-,989.75,-,2.19,0.14,-,-,26.11,0.55
3,1035.74,1006.69,17.58,-,989.11,-,2.18,0.14,-,-,26.18,0.55
4,1035.14,1006.28,17.58,-,988.7,-,2.05,0.13,-,-,26.16,0.52
5,1035.53,1006.75,17.73,-,989.02,-,2.09,0.13,-,-,26.07,0.49
注）　この表では，国・公有地，公共用地，墓地，道路，用水路，宗教法人の境内など，固定資産税が非課税とされている土地は除かれている。,,,,,,,,,,,,
資料　東京都主税局資産税部固定資産税課,,,,,,,,,,,,
