目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
４．周辺区地目別土地面積（令和6年1月1日）,,,,,,,,,,,,,
（単位：ｈａ）,,,,,,,,,,,,,
地域,総数,宅地,,,,,田,畑,山林,原野,池沼,雑種地,免税点未満
,,総数,商業地区,工業地区,住宅地区,その他,,,,,,,
中野区,1035.05,1006.49,17.72,-,988.77,-,-,1.73,0.13,-,-,26.23,0.47
杉並区,2235.19,2164.59,17.38,-,2147.17,0.04,-,31.37,0.85,-,0.16,37.28,0.94
練馬区,3085.99,2871.0299999999997,7.74,-,2862.83,0.46,-,170.09,2.62,-,-,39.64,2.61
豊島区,815.03,777.0699999999999,92.17,-,684.9,-,-,-,-,-,-,37.64,0.32
板橋区,1849.33,1810.83,15.31,132.17,1663.29,0.06,-,11.21,1.63,-,-,24.85,0.81
新宿区,1016.4,985.97,119.14,0.68,866.15,-,-,-,-,-,-,30.26,0.17
渋谷区,848.2299999999999,812.39,126.38,-,686.01,-,-,-,-,-,-,35.78,0.06
注）　この表では，国・公有地，公共用地，墓地，道路，用水路，宗教法人の境内など，固定資産税が非課税とされている土地は除かれている。,,,,,,,,,,,,,
資料　東京都主税局資産税部固定資産税課,,,,,,,,,,,,,
