目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
４１．産業（大分類），年齢（5歳階級），男女別15歳以上就業者数（令和2年10月1日）,,,,,,,,,,,,,,,,,,,,,
,,産業（大分類）,,,,,,,,,,,,,,,,,,,
男女,総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,Ｋ,Ｌ,Ｍ,Ｎ,Ｏ,Ｐ,Ｑ,Ｒ,Ｓ,Ｔ
"年齢
（5歳階級）",,農業，林業,漁業,"鉱業，採石業，
砂利採取業",建設業,製造業,電気･ガス･熱供給・水道業,情報通信業,"運輸業，
郵便業","卸売業，
小売業","金融業，
保険業","不動産業，
物品賃貸業",学術研究，専門・技術サービス業,"宿泊業，
飲食サービス業",生活関連サービス業，娯楽業,"教育，
学習支援業",医療，福祉,複合サービス事業,サービス業（他に分類されないもの）,公務（他に分類されるものを除く）,分類不能の産業
総数,140355,147,6,32,6087,8924,462,19824,4277,19103,6603,6624,11710,8542,5906,6909,13254,427,12335,4555,4628
15～19歳,1146,-,-,-,13,12,-,14,25,335,3,8,9,451,44,109,18,1,33,4,67
20～24,8983,5,-,-,223,285,21,1449,219,1433,316,213,474,1346,585,493,742,11,528,222,418
25～29,16336,4,1,5,470,864,57,3674,352,1978,945,498,1492,819,680,633,1474,21,1249,627,493
30～34,16120,12,-,3,468,974,76,3325,321,2019,937,437,1515,714,690,689,1499,49,1223,756,413
35～39,15111,15,-,6,524,1067,39,2882,332,2042,831,496,1384,742,617,648,1306,37,1205,602,336
40～44,14706,11,2,3,641,1029,48,2648,420,1922,711,432,1380,785,557,695,1309,62,1152,514,385
45～49,15503,13,-,3,797,1186,70,2119,561,2202,781,535,1283,846,608,718,1447,92,1287,531,424
50～54,14070,18,-,4,802,1135,49,1609,542,1980,875,520,1119,663,473,773,1351,64,1187,491,415
55～59,12179,7,2,1,679,956,47,1170,504,1636,678,594,994,546,418,780,1270,52,1146,402,297
60～64,8971,7,-,2,496,630,32,533,377,1306,310,565,752,457,346,618,1097,31,965,245,202
65～69,6555,11,-,2,393,329,13,197,297,890,110,576,549,489,265,384,814,5,891,108,232
70～74,5594,20,-,3,335,226,8,144,239,680,61,761,423,414,279,235,592,2,854,36,282
75～79,2968,16,1,-,163,147,2,39,69,384,29,464,199,181,215,81,224,-,436,12,306
80～84,1309,5,-,-,55,56,-,13,11,188,13,279,89,63,91,28,74,-,134,5,205
85歳以上,804,3,-,-,28,28,-,8,8,108,3,246,48,26,38,25,37,-,45,-,153
男,75405,101,3,25,4662,5628,344,13078,3396,8995,3156,3617,6801,4194,2626,2884,3596,257,6789,2922,2331
15～19歳,521,-,-,-,9,7,-,11,16,138,3,5,4,188,17,58,7,1,23,3,31
20～24,4227,1,-,-,153,137,11,802,149,630,150,106,241,593,223,253,138,7,268,136,229
25～29,8096,4,1,3,313,446,44,2230,233,881,419,229,758,402,277,256,340,10,607,382,261
30～34,8470,8,-,2,338,559,61,2145,218,917,445,213,825,384,290,288,425,21,611,514,206
35～39,8466,7,-,6,403,629,31,1986,235,988,406,285,788,447,288,295,393,24,643,422,190
40～44,8161,7,1,2,482,606,37,1823,327,937,340,245,768,435,256,287,366,47,659,339,197
45～49,8392,9,-,2,618,733,47,1448,448,1043,345,288,704,433,290,271,388,59,709,359,198
50～54,7567,13,-,4,615,763,34,1125,453,940,423,291,645,344,214,255,323,38,613,284,190
55～59,6720,6,1,1,533,728,29,865,419,769,345,351,604,247,185,287,308,30,601,252,159
60～64,5024,4,-,2,410,473,28,362,328,623,172,337,497,222,140,273,319,17,579,135,103
65～69,3699,9,-,1,329,233,12,130,272,429,64,341,379,209,124,173,240,2,559,67,126
70～74,3224,14,-,2,270,152,8,102,221,332,22,443,318,182,143,125,207,1,531,23,128
75～79,1692,12,-,-,138,102,2,31,62,191,14,254,162,77,119,39,76,-,264,5,144
80～84,730,4,-,-,34,41,-,12,8,108,6,139,68,21,43,13,42,-,91,1,99
85歳以上,416,3,-,-,17,19,-,6,7,69,2,90,40,10,17,11,24,-,31,-,70
女,64950,46,3,7,1425,3296,118,6746,881,10108,3447,3007,4909,4348,3280,4025,9658,170,5546,1633,2297
15～19歳,625,-,-,-,4,5,-,3,9,197,-,3,5,263,27,51,11,-,10,1,36
20～24,4756,4,-,-,70,148,10,647,70,803,166,107,233,753,362,240,604,4,260,86,189
25～29,8240,-,-,2,157,418,13,1444,119,1097,526,269,734,417,403,377,1134,11,642,245,232
30～34,7650,4,-,1,130,415,15,1180,103,1102,492,224,690,330,400,401,1074,28,612,242,207
35～39,6645,8,-,-,121,438,8,896,97,1054,425,211,596,295,329,353,913,13,562,180,146
40～44,6545,4,1,1,159,423,11,825,93,985,371,187,612,350,301,408,943,15,493,175,188
45～49,7111,4,-,1,179,453,23,671,113,1159,436,247,579,413,318,447,1059,33,578,172,226
50～54,6503,5,-,-,187,372,15,484,89,1040,452,229,474,319,259,518,1028,26,574,207,225
55～59,5459,1,1,-,146,228,18,305,85,867,333,243,390,299,233,493,962,22,545,150,138
60～64,3947,3,-,-,86,157,4,171,49,683,138,228,255,235,206,345,778,14,386,110,99
65～69,2856,2,-,1,64,96,1,67,25,461,46,235,170,280,141,211,574,3,332,41,106
70～74,2370,6,-,1,65,74,-,42,18,348,39,318,105,232,136,110,385,1,323,13,154
75～79,1276,4,1,-,25,45,-,8,7,193,15,210,37,104,96,42,148,-,172,7,162
80～84,579,1,-,-,21,15,-,1,3,80,7,140,21,42,48,15,32,-,43,4,106
85歳以上,388,-,-,-,11,9,-,2,1,39,1,156,8,16,21,14,13,-,14,-,83
資料　総務省統計局「令和2年国勢調査　就業状態等基本集計」,,,,,,,,,,,,,,,,,,,,,
