目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
４８．住宅の建て方（5区分），延べ面積（6区分），1か月当たり家賃（19区分）別民営借家（専用住宅）数（令和5年10月1日）,,,,,,,,,,,,,,,,,,,,,
"住宅の建て方（5区分），
延べ面積（6区分）",総数,1か月当たり家賃,,,,,,,,,,,,,,,,,,,
,,0円,"1～5,000","5,000
～10,000","10,000
～15,000","15,000
～20,000","20,000
～25,000","25,000
～30,000","30,000
～40,000","40，000
～50，000","50，000
～60，000","60,000
～70,000","70,000
～80,000","80,000
～90,000","90,000
～100,000","100,000
～110,000","110,000
～120,000","120,000
～150,000","150,000
～200,000","200,000円
以上",不詳
民営借家（専用住宅）総数,112050,470,100,670,420,40,520,910,1360,4190,13340,17010,16160,11910,7570,7120,5820,13520,7080,1450,2400
29㎡以下,64870,-,-,670,130,-,330,830,850,3780,12880,14600,13580,8450,3510,2810,1540,650,120,-,150
30～49㎡,26610,-,70,-,210,-,20,40,190,40,190,1230,1950,3020,3620,3000,3080,6960,2630,40,310
50～69,12650,390,-,-,80,40,100,-,260,90,-,740,260,150,330,650,410,4950,3030,610,550
70～99,5510,60,30,-,-,-,-,40,50,-,250,170,-,260,-,640,790,780,1170,620,650
100～149,2010,20,-,-,-,-,60,-,-,280,-,260,310,20,110,-,-,120,120,130,570
150㎡以上,390,-,-,-,-,-,-,-,-,-,20,-,60,20,-,20,-,70,-,30,170
一戸建,1970,50,-,-,-,-,80,-,270,20,120,-,-,-,70,130,60,480,470,220,-
29㎡以下,70,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-
30～49㎡,290,-,-,-,-,-,20,-,70,-,30,-,-,-,40,-,60,-,30,40,-
50～69,620,-,-,-,-,-,-,-,200,-,-,-,-,-,30,90,-,230,70,-,-
70～99,640,30,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,240,270,70,-
100～149,290,20,-,-,-,-,60,-,-,20,-,-,-,-,-,-,-,10,100,70,-
150㎡以上,50,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,30,-
長屋建,750,-,-,-,-,-,-,-,-,-,180,60,70,-,50,-,-,90,190,80,30
29㎡以下,280,-,-,-,-,-,-,-,-,-,180,60,40,-,-,-,-,-,-,-,-
30～49㎡,120,-,-,-,-,-,-,-,-,-,-,-,30,-,50,-,-,40,-,-,-
50～69,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,90,50,-
70～99,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,30
100～149,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-
150㎡以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
共同住宅（木造）,27930,260,-,40,-,-,180,500,850,2590,7410,6290,3680,2210,1320,550,460,890,100,-,610
29㎡以下,21910,-,-,40,-,-,180,500,730,2290,7270,5520,3240,1450,300,90,170,-,-,-,130
30～49㎡,3720,-,-,-,-,-,-,-,120,-,80,560,260,670,910,370,190,550,-,-,-
50～69,1080,260,-,-,-,-,-,-,-,50,-,190,-,-,-,70,70,300,70,-,70
70～99,420,-,-,-,-,-,-,-,-,-,50,-,-,80,-,-,30,40,30,-,180
100～149,790,-,-,-,-,-,-,-,-,250,-,30,180,-,110,-,-,-,-,-,230
150㎡以上,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-
共同住宅（非木造）,81370,170,100,620,420,40,250,410,240,1580,5630,10660,12420,9710,6100,6440,5290,12060,6320,1140,1760
29㎡以下,42610,-,-,620,130,-,150,330,130,1500,5350,9020,10300,7000,3210,2720,1370,650,120,-,20
30～49㎡,22480,-,70,-,210,-,-,40,-,40,80,670,1660,2340,2620,2630,2830,6370,2610,-,310
50～69,10740,130,-,-,80,40,100,-,60,40,-,560,260,150,270,500,340,4370,2800,560,470
70～99,4320,40,30,-,-,-,-,40,50,-,190,170,-,170,-,600,760,490,770,550,440
100～149,890,-,-,-,-,-,-,-,-,-,-,240,130,20,-,-,-,110,20,30,340
150㎡以上,330,-,-,-,-,-,-,-,-,-,-,-,60,20,-,-,-,70,-,-,170
その他,30,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-
注）　統計表の数値は，表章単位未満の位を四捨五入しているため，総額と内訳の合計は必ずしも一致しない。,,,,,,,,,,,,,,,,,,,,,
資料　総務省統計局「令和5年住宅・土地統計調査報告」,,,,,,,,,,,,,,,,,,,,,
