目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
５０．住宅の所有の関係（6区分），建て方（4区分）最低居住面積水準・誘導居住面積水準状況（令和5年10月1日）,,,,,,,,,
"住宅の所有の関係（6区分）・
建て方（4区分）",総数,最低居住面積水準,,誘導居住面積水準,,,,,
,,水準以上の世帯,水準未満の世帯,総数,,都市居住型誘導居住面積水準,,一般型誘導居住面積水準,
,,,,水準以上の世帯,水準未満の世帯,水準以上の世帯,水準未満の世帯,水準以上の世帯,水準未満の世帯
主世帯総数,206190,151250,37400,64430,124220,42370,111660,22050,12560
（住宅の所有の関係）,,,,,,,,,
持ち家,66860,65000,1860,42320,24540,21520,13920,20800,10610
借家,121790,86250,35530,22100,99680,20850,97730,1250,1950
公営の借家,2510,2200,300,920,1590,870,1590,40,-
都市再生機構（UR）・公社の貸家,2030,1910,120,890,1140,890,1140,-,-
民営借家（木造）,30320,16230,14100,3570,26760,2760,25170,810,1590
民営借家（非木造）,81770,61410,20370,15240,66530,15070,66300,170,230
給与住宅,5150,4500,640,1480,3660,1250,3530,230,130
（住宅の建て方）,,,,,,,,,
一戸建,36890,30450,310,20020,10740,-,-,20020,10740
長屋建,4510,2830,260,1500,1590,-,-,1500,1590
共同住宅,163770,117240,36790,42370,111660,42370,111660,-,-
その他,1030,730,40,530,240,-,-,530,240
資料　総務省統計局「令和5年住宅・土地統計調査報告」,,,,,,,,,
