目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
６０．橋梁状況（令和5～令和6年）,,,,,,,,,,,,,,,,
年次,区分,総  数,,,鋼  橋,,,プレストレストコンクリート橋,,,鉄筋コンクリート橋,,,歩 道 橋,,
,,橋  数,橋　長(m),橋面積(㎡),橋  数,橋　長,橋面積(㎡),橋  数,橋　長,橋面積(㎡),橋  数,橋　長,橋面積(㎡),橋  数,橋　長,橋面積(㎡)
,総数,113,1601,16137,24,518,6585,76,836,6750,13,247,2802,19,-,-
令和5年,区 道,98,1141,8596,18,289,2379,71,761,5662,9,91,603,-,-,-
,都 道,15,460,7541,6,229,4206,5,75,1136,4,156,2199,19,-,-
,総数,112,1779,14007,23,366,4456,76,836,6750,13,247,2802,19,,
令和6年,区 道,98,1141,8596,18,289,2379,71,761,5662,9,91,603,-,-,-
,都 道,14,308,5411,5,77,2077,5,75,1136,4,156,2199,19,,
注）　総数には歩道橋は含まない。,,,,,,,,,,,,,,,,
　　　国道は区内にないため，記載しない。,,,,,,,,,,,,,,,,
資料　道路管理課,,,,,,,,,,,,,,,,
