目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
６５．刑法犯の罪種別認知件数（令和元～令和5年）,,,,,,,,,,,,,,,,,,
,総数,凶悪犯,粗暴犯,窃盗犯,,,知能犯,,,風俗犯,,,その他の刑法犯,,,,,
年次,,,,侵入窃盗,非侵入窃盗,,詐欺,偽造,その他,賭博,わいせつ,性的姿態撮影等処罰法,占有離脱物横領,,公務執行妨害,住居侵入,器物損壊等,その他
,,,,,,うち乗物盗,,,,,,,,うち自転車占脱,,,,
令和元年,2342,12,180,107,1510,784,121,4,1,1,18,-,71,48,9,37,261,10
2,2061,6,164,80,1320,754,104,11,1,-,25,-,55,48,8,24,249,14
3,1848,21,151,51,1145,677,138,26,1,-,21,-,66,50,5,12,196,15
4,1884,12,146,36,1282,843,125,1,4,-,20,-,44,36,10,11,182,11
5,1987,15,169,62,1298,789,105,6,4,-,15,7,46,37,8,23,198,31
資料　警視庁「警視庁の統計」,,,,,,,,,,,,,,,,,,
