目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
７１．路線別駅周辺自転車駐車台数（令和2～令和6年）,,,,,,,,,,,,,,,
年次,総数,,,JR中央線,,,西武新宿線,,,都営大江戸線,,,東京メトロ丸の内線,,
,駐車場数,駐車台数,放置台数,駐車場数,駐車台数,放置台数,駐車場数,駐車台数,放置台数,駐車場数,駐車台数,放置台数,駐車場数,駐車台数,放置台数
令和2年,28,5448,447,7,3208,161,14,1424,152,1,141,23,6,675,111
3,27,5515,426,6,3301,142,14,1376,146,1,165,14,6,673,124
4,27,6425,424,6,4136,178,14,1387,128,1,183,17,6,719,101
5,27,5698,367,6,3310,145,14,1443,100,1,285,21,6,660,101
6,27,5718,370,6,3285,145,14,1476,118,1,165,8,6,792,99
注）　各年10月における調査日1日間の実駐車台数である。,,,,,,,,,,,,,,,
　　　駐車場数は区営駐車場数である。,,,,,,,,,,,,,,,
資料　交通政策課,,,,,,,,,,,,,,,
