目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
７４．鉄道路線駅別乗降客数（令和元～令和5年度）,,,,,
①ＪＲの乗客数（令和元～令和5年度）,,,,,
（単位：1日当たりの人数）,,,,,
駅名,令和元年度,令和2年度,令和3年度,令和4年度,令和5年度
総数,192107,134048,140922,154258,161884
中野,150907,103284,108524,119846,126079
東中野,41200,30764,32398,34412,35805
資料　東日本旅客鉄道（株）「各駅の乗車人員」,,,,,
,,,,,
②西武鉄道の乗降客数（令和元～令和5年度）,,,,,
（単位：1日当たりの人数）,,,,,
駅名,令和元年度,令和2年度,令和3年度,令和4年度,令和5年度
総数,120409,89258,93859,100958,105400
新井薬師前,22176,16423,17112,18321,18903
沼袋,20290,14956,15698,16623,17330
野方,25560,18888,19979,21546,22400
都立家政,19236,14360,15151,16356,17185
鷺ノ宮,33147,24631,25919,28112,29582
資料　西武鉄道（株）「駅別乗降人員」,,,,,
,,,,,
③地下鉄の乗降客数（令和元～令和5年度）,,,,,
（単位：1日当たりの人数）,,,,,
駅名,令和元年度,令和2年度,令和3年度,令和4年度,令和5年度
総数,318803,298345,311369,341752,366119
中野,163466,109528,113089,125787,134499
中野坂上,77763,86531,91727,100829,108819
新中野,36488,27442,28305,30917,32950
中野新橋,20884,16138,16789,18258,19605
中野富士見町,20202,14960,15590,17111,18372
東中野,-,20748,21552,22842,24189
新江古田,-,22998,24317,26088,27685
資料　東京地下鉄（株）「各駅の乗降人員ランキング」,,,,,
      東京都交通局「各駅乗降人員一覧」,,,,,
