目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
８２．区内主要道路騒音，振動（令和3～令和5年度）,,,,
騒音（デシベル）,,,,
道路名,測定地点,測定年度,騒音,
,,,昼,夜
千川通り,上鷺宮3-17,令和3年度,67,62
目白通り,江原町3-5,令和4年度,67,65
新青梅街道,江古田4-3,令和5年度,67,65
中杉通り,鷺宮3-47,令和3年度,67,63
環七通り,大和町1-12,令和5年度,74,72
早稲田通り,中野5-4,令和5年度,63,60
大久保通り,中野2-17,令和4年度,66,64
山手通り,中央2-18,令和4年度,68,66
青梅街道,本町4-18,令和4年度,65,64
本郷通り,弥生町2-41,令和5年度,66,63
方南通り,弥生町4-20,令和5年度,65,63
中野通り,中野5-68,令和5年度,65,62
,,,,
振動（デシベル）,,,,
道路名,測定地点,測定期日,振動,
,,,昼,夜
千川通り,上鷺宮3-17,令和3年度,41,35
目白通り,江原町3-5,令和4年度,46,44
新青梅街道,江古田4-3,令和5年度,44,40
中杉通り,鷺宮3-47,令和3年度,47,42
環七通り,大和町1-12,令和5年度,53,52
早稲田通り,中野5-4,令和5年度,47,43
大久保通り,中野2-17,令和4年度,40,36
山手通り,中央2-18,令和4年度,41,41
青梅街道,本町4-18,令和4年度,42,38
本郷通り,弥生町2-41,令和5年度,45,41
方南通り,弥生町4-20,令和5年度,51,46
中野通り,中野5-68,令和5年度,27,22
資料　中野区「自動車騒音振動交通量調査」,,,,
