目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
９．居住期間別人口（令和7年1月1日）,,,,,,,
町丁別,総数,～1年,～5年,～10年,～20年,～30年,31年以上
中野区,341322,44141,98164,59440,63267,36078,40232
,,,,,,,
南台総数,20668,2313,5499,3700,3724,2462,2970
南台一丁目,1277,115,323,260,233,156,190
南台二丁目,5273,530,1307,966,999,616,855
南台三丁目,5565,582,1462,1073,1060,754,634
南台四丁目,4456,530,1208,734,734,445,805
南台五丁目,4097,556,1199,667,698,491,486
弥生町総数,23799,3303,7175,4095,4515,1912,2799
弥生町一丁目,6392,899,2009,1003,1264,419,798
弥生町二丁目,5491,863,1775,958,983,381,531
弥生町三丁目,2998,369,838,508,551,250,482
弥生町四丁目,3307,413,893,639,616,281,465
弥生町五丁目,3823,473,1146,701,607,483,413
弥生町六丁目,1788,286,514,286,494,98,110
本町総数,29994,3972,9154,4956,5531,3063,3318
本町一丁目,3787,468,1128,646,796,364,385
本町二丁目,4538,564,1321,774,854,420,605
本町三丁目,5527,760,1851,937,1048,426,505
本町四丁目,7244,978,2169,1244,1260,764,829
本町五丁目,4012,596,1384,596,649,400,387
本町六丁目,4886,606,1301,759,924,689,607
中央総数,29794,3944,9158,4936,5327,3062,3367
中央一丁目,5874,723,1953,1025,1100,595,478
中央二丁目,6381,892,2047,996,1050,634,762
中央三丁目,5444,751,1632,922,878,553,708
中央四丁目,6584,878,1971,1071,1209,602,853
中央五丁目,5511,700,1555,922,1090,678,566
東中野総数,25358,3971,8128,4431,4292,2260,2276
東中野一丁目,7446,1136,2441,1414,1238,597,620
東中野二丁目,4557,533,1310,735,811,640,528
東中野三丁目,3402,490,1111,556,572,324,349
東中野四丁目,4359,653,1365,961,647,329,404
東中野五丁目,5594,1159,1901,765,1024,370,375
中野総数,27417,4030,8141,4730,4817,2834,2865
中野一丁目,6137,812,1718,1072,1089,626,820
中野二丁目,2788,516,908,506,389,207,262
中野三丁目,5964,744,1651,1069,1308,615,577
中野四丁目,1396,379,459,175,181,95,107
中野五丁目,7195,991,2276,1261,1145,752,770
中野六丁目,3937,588,1129,647,705,539,329
上高田総数,20772,2826,5813,3526,3750,2109,2748
上高田一丁目,5513,805,1536,784,1002,573,813
上高田二丁目,5036,657,1455,885,917,476,646
上高田三丁目,3377,477,908,621,605,320,446
上高田四丁目,3724,486,1005,722,730,358,423
上高田五丁目,3122,401,909,514,496,382,420
新井総数,18795,2485,5838,3314,3349,1880,1929
新井一丁目,4768,703,1563,825,742,396,539
新井二丁目,5287,622,1692,920,1041,589,423
新井三丁目,2937,380,843,523,535,311,345
新井四丁目,3226,389,870,611,599,380,377
新井五丁目,2577,391,870,435,432,204,245
沼袋総数,13770,1803,3721,2195,2522,1494,2035
沼袋一丁目,3451,453,957,477,595,372,597
沼袋二丁目,3592,413,948,704,665,384,478
沼袋三丁目,3242,496,927,449,600,316,454
沼袋四丁目,3485,441,889,565,662,422,506
松が丘総数,6663,849,1711,1148,1331,910,714
松が丘一丁目,3320,468,779,538,644,497,394
松が丘二丁目,3343,381,932,610,687,413,320
江原町総数,9473,1014,2469,1654,1790,1122,1424
江原町一丁目,3478,383,871,634,640,371,579
江原町二丁目,3608,345,985,627,754,429,468
江原町三丁目,2387,286,613,393,396,322,377
江古田総数,13981,1604,3998,2997,2430,1437,1515
江古田一丁目,3235,265,803,611,621,442,493
江古田二丁目,2572,349,726,434,474,228,361
江古田三丁目,3729,424,1317,1180,405,200,203
江古田四丁目,4445,566,1152,772,930,567,458
丸山総数,4958,540,1188,715,1138,768,609
丸山一丁目,2086,265,501,272,457,351,240
丸山二丁目,2872,275,687,443,681,417,369
野方総数,21804,2758,5800,3755,4170,2399,2922
野方一丁目,5231,620,1497,890,953,582,689
野方二丁目,5107,588,1223,933,1175,502,686
野方三丁目,2537,328,603,407,472,388,339
野方四丁目,3432,425,939,569,603,452,444
野方五丁目,2215,285,650,392,354,190,344
野方六丁目,3282,512,888,564,613,285,420
大和町総数,16246,2095,4882,2629,2838,1731,2071
大和町一丁目,5418,851,1835,858,745,499,630
大和町二丁目,3171,385,878,470,635,359,444
大和町三丁目,3630,467,1085,627,622,344,485
大和町四丁目,4027,392,1084,674,836,529,512
若宮総数,13059,1654,3544,2038,2430,1513,1880
若宮一丁目,4094,569,1138,591,798,393,605
若宮二丁目,4310,468,1217,681,766,543,635
若宮三丁目,4655,617,1189,766,866,577,640
白鷺総数,12389,1263,3361,2593,2534,1429,1209
白鷺一丁目,4643,429,1256,1219,1146,346,247
白鷺二丁目,4392,502,1196,801,835,480,578
白鷺三丁目,3354,332,909,573,553,603,384
鷺宮総数,17754,2300,4854,2870,3724,1998,2008
鷺宮一丁目,2861,418,904,426,479,286,348
鷺宮二丁目,1515,243,437,262,275,124,174
鷺宮三丁目,4054,593,1145,682,822,377,435
鷺宮四丁目,3378,482,875,593,587,405,436
鷺宮五丁目,2457,292,520,372,715,288,270
鷺宮六丁目,3489,272,973,535,846,518,345
上鷺宮総数,14628,1417,3730,3158,3055,1695,1573
上鷺宮一丁目,2672,284,765,549,477,375,222
上鷺宮二丁目,2840,288,686,632,674,314,246
上鷺宮三丁目,2554,246,645,818,411,179,255
上鷺宮四丁目,2689,311,882,476,507,287,226
上鷺宮五丁目,3873,288,752,683,986,540,624
資料　戸籍住民課,,,,,,,
