目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
９１．扶助の種類別被保護世帯数及び人員（令和元～令和5年度）,,,,,,,,,,,,,,,,,,,,,,,,,
年度,被保護1）,,保護率2）,生活扶助,,住宅扶助,,教育扶助,,介護扶助,,医療扶助,,出産扶助,,生業扶助,,葬祭扶助,,保護施設事務費及び委託事務費,,就労自立給付金,,進学準備給付金,
,世帯,人員,,世帯,人員,世帯,人員,世帯,人員,世帯,人員,世帯,人員,世帯,人員,世帯,人員,世帯,人員,保護施設事務費,委託事務費,世帯,人員,世帯,人員
令和元年度,6773,7627,22,5964,6718,6139,6902,97,123,1255,1284,5109,5571,-,-,75,85,20,20,35,-,4,4,1,1
2,6867,7673,22.4,6022,6735,6205,6933,96,123,1296,1327,5062,5481,-,-,65,71,27,27,34,7,5,5,1,1
3,6885,7657,22,6036,6721,6253,6962,89,112,1310,1342,5207,5627,-,-,55,60,23,23,28,13,6,6,2,2
4,6891,7621,22,6040,6680,6284,6961,80,103,1333,1367,5231,5653,1,1,49,53,24,24,25,25,6,6,1,1
5,6881,7569,22,5986,6583,6245,6872,71,88,1299,1326,5231,5630,1,1,49,56,23,23,26,20,7,7,1,1
注1）　保護停止中の世帯，人員を含む。,,,,,,,,,,,,,,,,,,,,,,,,,
注2）　保護率算定の基礎人口は，東京都総務局統計部人口統計課「東京都の人口（推計）」による。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　 年度分については，各年度月平均世帯，人員である。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　 保護率の単位は‰（パーミル）である。,,,,,,,,,,,,,,,,,,,,,,,,,
資料　生活援護課,,,,,,,,,,,,,,,,,,,,,,,,,
