目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
Ⅰ．主要統計長期指標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人口,,,,,,,,,,,,,住宅,,事業所,,製造業,,,社会福祉,,,,,衛生,,,,,教育文化,,,,,,,,,,家計・物価,,,交通・運輸,,,警察・消防,,,財務,,,
年次,土地面積,世帯数,人口,人口密度,社会動態,,,自然動態,,,昼間人口,夜間人口,流入人口,流出人口,着工住宅数,住宅数,事業所数,従業者数,事業所数,従業者数,製造品,保育園,,生活保護,,,医療,,,ごみ,,幼稚園,,小学校,,中学校,,高等学校,,公園,,勤労者世帯家計,,消費者物価指数,道路,,中野駅,刑法犯,交通事故,火災,歳入,歳出,うち一般会計,
,,,,1k㎡当たり,転入,転出,社会増減,出生,死亡,自然増減,,,,,,,,,,,出荷額等,保育園数,園児数,被保護世帯数,実人員,保護費,医療機関等施設数,病院数,医師数,収集量,うち持込,学園数,園児数,学校数,児童数,学校数,生徒数,学校数,生徒数,公園数,面積,実収入,実支出,東京都区部,延長,面積,乗車人員,発生件数,発生件数,発生件数,,,歳入,歳出
,（10月1日）,（10月1日）,（10月1日）,（10月1日）,（年次）,（年次）,（年次）,（年次）,（年次）,（年次）,（10月1日）,（10月1日）,（10月1日）,（10月1日）,（12月31日）,（10月1日）,（調査期日）,（調査期日）,（調査期日）,（調査期日）,（調査期日）,（3月1日）,（3月1日）,（年度月平均）,（年度月平均）,（年度）,（年度末）,（年度末）,（12月31日）,（年度）,（年度）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（4月1日）,（4月1日）,（1ヵ月平均）,（1ヵ月平均）,（年平均）,（4月1日）,（4月1日）,（年度1日平均）,（年末）,（年末）,（年末）,（年度）,（年度）,（年度）,（年度）
,ｋ㎡,世帯,人,人,人,人,人,人,人,人,人,人,人,人,件,件,,人,,人,百万円,園,人,世帯,人,千円,棟,棟,人,t,t,園,人,校,人,校,人,校,人,園,百㎡,円,円,,ｍ,㎡,人,件,件,件,千円,千円,千円,千円
平成18年,15.59,171848,298687,19158.883899935856,27142,26281,861,2041,2303,-262,…,…,…,…,4815,…,13601,117494,120,1335,20259,37,3074,4325,5453,10970004,1236,11,614,77149,…,26,3281,30,9791,19,5147,12,9305,157,3172,585818,468862,97.3,361448,2021147,115176,5465,1291,138,163503304,158809519,95866589,91904065
19,15.59,173931,299433,19206.735086594,27489,26065,1424,2120,2396,-276,…,…,…,…,3106,…,…,…,…,…,…,37,3100,4424,5514,10869155,1270,11,…,72951,…,26,3230,28,9650,18,5346,13,9096,157,3604,574514,528003,97.4,361343,2010642,123022,5378,1198,124,179409900,175816815,109696141,106509127
20,15.59,176011,300622,19283.0019243105,26138,25127,1011,2187,2396,-209,…,…,…,…,4982,191320,…,…,278,1683,23822,37,3084,4554,5502,11235931,1310,11,652,83367,15039,26,3167,28,9603,18,5439,13,9270,156,3554,581293,462525,98.4,363671,2096696,124645,5042,983,105,159446426,150952094,104178271,96277371
