目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Ⅱ.周辺特別区比較,,,,,,,,,,
,,,,,,,,,,
種類,,単位,期日,中野区,杉並区,練馬区,豊島区,板橋区,新宿区,渋谷区
面積,,ｋ㎡,令和6年10月1日現在,15.59,34.06,48.08,13.01,32.22,18.22,15.11
世帯数,,世帯,令和7年1月1日現在,217716,334466,395526,188094,334750,231609,143626
人口,総数,人,〃,341322,577147,745927,294644,578914,352717,231402
,男,〃,〃,172721,277810,360504,147717,283229,177370,111018
,女,〃,〃,168601,299337,385423,146927,295685,175347,120384
人口密度（1k㎡当たり）,,〃,〃,21894,16945,15514,22648,17968,19359,15314
年間人口増加数,,〃,令5．1．1～令5．12．31,3784,2057,2626,2946,4686,2947,1197
自然動態,出生,〃,〃,2238,3788,4988,1854,3412,2153,1675
,死亡,〃,〃,3031,5186,7273,2557,6085,2959,1737
社会動態,他県から転入,〃,〃,13861,19066,22610,12936,21889,15939,7943
,他県への転出,〃,〃,11219,15731,20763,11067,18376,13720,6668
,その他の増減,〃,〃,2886,1813,1660,3716,3044,6499,402
就業人口総数,,〃,令和2年10月1日現在,140355,252172,321730,120701,236641,123796,93289
,第1次産業人口,〃,〃,153,463,1152,119,309,112,70
,第2次産業人口,〃,〃,15043,26961,42606,13978,35923,11363,8101
,第3次産業人口,〃,〃,120531,216291,266510,102232,189457,105369,81314
分類不能の産業人口,分類不能の産業人口,〃,〃,4628,8457,11462,4372,10952,6952,3804
経済センサス,事業所数,,令和3年6月1日現在,12088,19533,20673,19292,17472,33313,33393
,従業者数,人,〃,129112,166987,197530,278087,207012,718620,589482
製造業,事業所数,,令和3年6月1日現在,50,78,150,145,535,209,75
,従業者数,人,〃,663,1212,2672,2280,13170,4818,1326
,製造品出荷額等,万円,令2.1.1～令2.12.31,984546,4253568,6357554,8151544,31043956,10665598,3006154
道路実延長1）,総数,ｍ,令和6年4月1日現在,369093,689541,1145521,308382,740262,356874,271726
,舗装道,〃,〃,369093,687525,1144593,308371,740262,356874,271726
道路面積,総数,㎡,〃,2172473,4640606,7528417,2407903,5856448,3425806,2787663
,舗装道,〃,〃,2152989,4525820,7385015,2358610,5742621,3321923,2716049
,道路率,％,〃,13.9,13.6,15.7,18.5,18.2,18.8,18.4
公園,園数,所,令和6年4月1日現在,198,342,704,154,354,184,134
,面積,㎡,〃,490227,1314048,2187047,234000,1949944,1174548,1656126
,一人あたり面積,㎡,〃,1.41,2.22,2.9,0.76,3.31,3.32,6.77
ごみ収集状況,,ｔ,令5.4.1～令6.3.31,53798,90812,119883,49218,98653,65476,45067
学校2）,学校数,校,令和6年5月1日現在,49,92,120,58,91,58,45
,教員数,人,〃,1665,3005,3431,1739,2650,1584,1432
,在学者数,〃,〃,27892,50348,58013,30295,45794,25811,25226
高等学校進学率,（令和5年3月卒業者）3）,％,〃,99.1,98.2,98.9,98.9,99,98.1,98
大学進学率,（令和5年3月卒業者）3）,％,〃,78,80.2,66.5,77.9,75.9,77.4,85.3
国民健康保険被保険者数,,人,令和5年3月31日現在,71402,109644,129912,66631,108211,85200,48644
病院,施設数,所,令和4年10月1日現在,8,20,19,14,41,13,15
,病床数,床,〃,1694,2717,3239,1633,9677,5547,2868
一般診療所,施設数,所,〃,326,555,586,508,395,738,711
,病床数,床,〃,46,74,144,106,78,90,22
歯科診療所数,,所,〃,245,428,453,325,335,428,431
母子生活支援施設,,所,令和6年4月1日現在,1,1,1,1,1,2,1
児童福祉施設,保育所数,所,〃,94,187,201,93,142,79,68
,児童数,人,〃,6494,13457,16298,5992,11322,5907,4871
生活保護,被保護者数4）,人,令和5年度平均,7569,7181,16511,6365,17695,9701,2745
,保護費,千円,令5．4．1～令6．3．31,15944130,14973928,32302910,14081074,34966912,21047089,6160899
テレビ,放送受信契約数,台,令和5年3月31日現在,105991,185405,236832,100957,187564,132827,78031
,衛星契約数,〃,〃,55658,110698,131951,52349,100742,78854,45191
区立図書館,館数5）,所,令和6年4月1日現在,10,13,13,7,12,11,9
