,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ⅰ．主要統計長期指標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人口,,,,,,,,,,,,,住宅,,事業所,,製造業,,,社会福祉,,,,,衛生,,,,,教育文化,,,,,,,,,,家計・物価,,,交通・運輸,,,警察・消防,,,財務,,,
年次,土地面積,世帯数,人口,人口密度,社会動態,,,自然動態,,,昼間人口,夜間人口,流入人口,流出人口,着工住宅数,住宅数,事業所数,従業者数,事業所数,従業者数,製造品,保育園,,生活保護,,,医療,,,ごみ,,幼稚園,,小学校,,中学校,,高等学校,,公園,,勤労者世帯家計,,消費者物価指数,道路,,中野駅,刑法犯,交通事故,火災,歳入,歳出,うち一般会計,
,,,,1k㎡当たり,転入,転出,社会増減,出生,死亡,自然増減,,,,,,,,,,,出荷額等,保育園数,園児数,被保護世帯数,実人員,保護費,医療機関等施設数,病院数,医師数,収集量,うち持込,学園数,園児数,学校数,児童数,学校数,生徒数,学校数,生徒数,公園数,面積,実収入,実支出,東京都区部,延長,面積,乗車人員,発生件数,発生件数,発生件数,,,歳入,歳出
,（10月1日）,（10月1日）,（10月1日）,（10月1日）,（年次）,（年次）,（年次）,（年次）,（年次）,（年次）,（10月1日）,（10月1日）,（10月1日）,（10月1日）,（12月31日）,（10月1日）,（調査期日）,（調査期日）,（調査期日）,（調査期日）,（調査期日）,（3月1日）,（3月1日）,（年度月平均）,（年度月平均）,（年度）,（年度末）,（年度末）,（12月31日）,（年度）,（年度）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（4月1日）,（4月1日）,（1ヵ月平均）,（1ヵ月平均）,（年平均）,（4月1日）,（4月1日）,（年度1日平均）,（年末）,（年末）,（年末）,（年度）,（年度）,（年度）,（年度）
,ｋ㎡,世帯,人,人,人,人,人,人,人,人,人,人,人,人,件,件,,人,,人,百万円,園,人,世帯,人,千円,棟,棟,人,t,t,園,人,校,人,校,人,校,人,園,百㎡,円,円,,ｍ,㎡,人,件,件,件,千円,千円,千円,千円
平成18年,15.59,"171,848","298,687","19,159","27,142","26,281",861,"2,041","2,303",△ 262,…,…,…,…,"4,815",…,"13,601","117,494",120,"1,335","20,259",37,"3,074","4,325","5,453","10,970,004","1,236",11,614,"77,149",…,26,"3,281",30,"9,791",19,"5,147",12,"9,305",157,"3,172","585,818","468,862",97.3,"361,448","2,021,147","115,176","5,465","1,291",138,"163,503,304","158,809,519","95,866,589","91,904,065"
19,15.59,"173,931","299,433","19,207","27,489","26,065","1,424","2,120","2,396",△ 276,…,…,…,…,"3,106",…,…,…,…,…,…,37,"3,100","4,424","5,514","10,869,155","1,270",11,…,"72,951",…,26,"3,230",28,"9,650",18,"5,346",13,"9,096",157,"3,604","574,514","528,003",97.4,"361,343","2,010,642","123,022","5,378","1,198",124,"179,409,900","175,816,815","109,696,141","106,509,127"
20,15.59,"176,011","300,622","19,283","26,138","25,127","1,011","2,187","2,396",△ 209,…,…,…,…,"4,982","191,320",…,…,278,"1,683","23,822",37,"3,084","4,554","5,502","11,235,931","1,310",11,652,"83,367","15,039",26,"3,167",28,"9,603",18,"5,439",13,"9,270",156,"3,554","581,293","462,525",98.4,"363,671","2,096,696","124,645","5,042",983,105,"159,446,426","150,952,094","104,178,271","96,277,371"
21,15.59,"176,571","300,293","19,262","25,834","26,264",△430,"2,330","2,307",23,…,…,…,…,"2,327",…,"14,367","125,683",111,"1,265","16,290",36,"3,031","4,930","5,778","12,053,769","1,317",11,…,"80,962","15,862",25,"3,202",27,"9,490",18,"5,565",13,"9,520",156,"3,554","598,723","486,036",97.2,"363,647","2,098,897","124,147","4,759",875,129,"176,047,167","174,192,571","106,950,259","105,302,603"
22,15.59,"176,644","299,398","19,204","26,015","26,526",△ 511,"2,310","2,616",△ 306,"289,176","314,750","70,244","96,291","4,207",…,…,…,105,"1,271","17,050",36,"3,101","5,429","6,318","13,276,519","1,354",10,684,"78,421","14,246",25,"3,002",28,"9,629",18,"5,569",12,"9,595",157,"3,571","615,748","493,268",96.2,"364,282","2,103,254","123,968","4,605",821,109,"158,100,664","155,994,214","99,858,832","98,146,677"
