年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
令和元,2019,歳入,Revenue,総数,Total,7461000,7804519,7671733
令和2,2020,歳入,Revenue,総数,Total,7354000,9747452,8688613
令和3,2021,歳入,Revenue,総数,Total,7425000,11061212,9747377
令和4,2022,歳入,Revenue,総数,Total,7801000,9909310,9332949
令和5,2023,歳入,Revenue,総数,Total,8041000,8923353,8483136
令和5,2023,歳入,Revenue,都税,Metropolitan taxes,6200976,6312124,6344300
令和5,2023,歳入,Revenue,地方譲与税,Local transfer tax,67243,65941,64088
令和5,2023,歳入,Revenue,助成交付金,Subsidies and grants,43,43,43
令和5,2023,歳入,Revenue,地方特例交付金,Special local grants,7282,7282,7079
令和5,2023,歳入,Revenue,特別交付金,Special grants,3153,3153,2540
令和5,2023,歳入,Revenue,分担金及負担金,Beneficiary contribution,24931,23960,15597
令和5,2023,歳入,Revenue,使用料及手数料,Charges and fees,84576,84921,78895
令和5,2023,歳入,Revenue,国庫支出金,National treasury disbursements,388095,758599,638206
令和5,2023,歳入,Revenue,財産収入,Revenue from property,47463,49223,37424
令和5,2023,歳入,Revenue,寄附金,Contributions,61,212,192
令和5,2023,歳入,Revenue,繰入金,Funds transferred,501609,566145,214738
令和5,2023,歳入,Revenue,諸収入,Miscellaneous,424750,527399,595579
令和5,2023,歳入,Revenue,都債,Metropolitan bonds,290817,239242,199344
令和5,2023,歳入,Revenue,繰越金,Balance brought forward,1,285109,285109
令和元,2019,歳出,Expenditure,総数,Total,7461000,7804519,7444627
令和2,2020,歳出,Expenditure,総数,Total,7354000,9747452,8486952
令和3,2021,歳出,Expenditure,総数,Total,7425000,11061212,9461704
令和4,2022,歳出,Expenditure,総数,Total,7801000,9909310,9047840
令和5,2023,歳出,Expenditure,総数,Total,8041000,8923353,8212897
令和5,2023,歳出,Expenditure,議会費,Metropolitan assembly,5841,5283,4684
令和5,2023,歳出,Expenditure,総務費,General services,293685,590027,482160
令和5,2023,歳出,Expenditure,徴税費,Tax collection,77203,74737,73428
令和5,2023,歳出,Expenditure,生活文化スポーツ費,Citizens， cultural and sports affairs,59582,58002,52667
令和5,2023,歳出,Expenditure,都市整備費,Urban development,127418,119010,90361
令和5,2023,歳出,Expenditure,環境費,Environmental protection,154861,259263,246299
令和5,2023,歳出,Expenditure,福祉保健費,Welfare and public health,1522446,1722380,1559800
令和5,2023,歳出,Expenditure,産業労働費,Industry and labor ,673326,684319,609856
令和5,2023,歳出,Expenditure,土木費,Civil engineering works,621902,547302,434254
令和5,2023,歳出,Expenditure,港湾費,Port and harbor,106274,97028,77310
令和5,2023,歳出,Expenditure,教育費,Education,896484,890209,837916
令和5,2023,歳出,Expenditure,学務費,School affairs,243336,241631,227835
令和5,2023,歳出,Expenditure,警察費,Police,661775,653249,638265
令和5,2023,歳出,Expenditure,消防費,Fire fighting,259976,266217,257245
令和5,2023,歳出,Expenditure,公債費,Debt services,344189,342189,342076
令和5,2023,歳出,Expenditure,諸支出金,Miscellaneous,1987702,2367907,2278742
令和5,2023,歳出,Expenditure,予備費,Reserve funds,5000,4602,-
,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (令和元～5年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2019-2023 ),,,,,,,,
注) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,,
Note: The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
